number,value,params_lambda,params_w,user_attrs_accuracy
0,,0.12974774058762503,182,
1,,2.7996516071519295,9,
2,,0.5876643080256913,157,
3,,0.10586135084565691,180,
4,,5.957033383098175,89,
5,0.45,4.144612150957564,99,0.45
6,0.5,46.90825795508396,168,0.5
7,0.85,0.8866225677068172,65,0.85
8,0.4,0.005070977061045768,158,0.4
9,0.85,0.07578761434124899,178,0.85
10,0.45,0.009175358250950177,229,0.45
11,0.75,0.376252010574659,73,0.75
12,0.65,8.41970423065993,212,0.65
13,0.8,0.022929992606299573,193,0.8
14,0.6,0.001447383774540942,37,0.6
15,0.7,188.92347041682675,19,0.7
16,0.75,0.17855367343437417,118,0.75
17,0.7,0.08609624166696965,69,0.7
18,0.7,1.589109829272022,137,0.7
